experiment,model,include_derived,include_context_features,include_days_on_market,include_distance_to_center,include_neighborhood,include_time_features,include_mortgage_rate,rmse,mae,mape,r2,within_10_pct,within_20_pct,log_rmse
A_base_cleaned_features_only,ridge_regression,False,False,False,False,True,True,False,23407.18504641985,14911.866533809656,0.08563001693600707,0.9132406843346935,0.6989026063100137,0.9286694101508917,0.11842016035317199
B_base_plus_derived_features,ridge_regression,True,False,False,False,True,True,False,20397.896257058685,13515.200427215868,0.07886578472623083,0.9341147045040804,0.7366255144032922,0.9430727023319616,0.11158971376903258
C_derived_plus_all_supplementary,ridge_regression,True,True,True,True,True,True,True,20503.987431896003,13555.952909315354,0.07894011304385697,0.9334275722910121,0.742798353909465,0.943758573388203,0.11169589692403788
D_without_days_on_market,ridge_regression,True,True,False,True,True,True,True,20402.802858206884,13509.598954223291,0.07885000831370634,0.9340830040048519,0.7386831275720165,0.9423868312757202,0.11161357969842256
E_location_neighborhood_only,ridge_regression,True,True,True,False,True,True,True,20505.531622959614,13581.359971615451,0.07906539722748092,0.9334175445420841,0.7421124828532236,0.9423868312757202,0.11183109648877061
F_location_distance_only,ridge_regression,True,True,True,True,False,True,True,20962.715244357783,14042.935720207282,0.08191731502011558,0.9304154519731717,0.7283950617283951,0.9417009602194787,0.1154862432203142
G_location_neighborhood_and_distance,ridge_regression,True,True,True,True,True,True,True,20503.987431896003,13555.952909315354,0.07894011304385697,0.9334275722910121,0.742798353909465,0.943758573388203,0.11169589692403788
H_without_time_and_mortgage,ridge_regression,True,True,True,True,True,False,False,20431.97025270347,13490.856972752497,0.07864195595215986,0.9338944023394757,0.7462277091906722,0.9423868312757202,0.11131168335019995
I_with_time_without_mortgage,ridge_regression,True,True,True,True,True,True,False,20501.378490100586,13536.955517254095,0.07883521988594686,0.9334445126583274,0.7462277091906722,0.9423868312757202,0.11152471883335144
