model,is_best_model,pipeline_path,model_path,training_scope
linear_regression,False,Model_Development\models\checkpoints\linear_regression_pipeline.pkl,Model_Development\models\checkpoints\linear_regression_model.pkl,full_clean_training_data
ridge_regression,False,Model_Development\models\checkpoints\ridge_regression_pipeline.pkl,Model_Development\models\checkpoints\ridge_regression_model.pkl,full_clean_training_data
lasso_regression,True,Model_Development\models\checkpoints\lasso_regression_pipeline.pkl,Model_Development\models\checkpoints\lasso_regression_model.pkl,full_clean_training_data
random_forest,False,Model_Development\models\checkpoints\random_forest_pipeline.pkl,Model_Development\models\checkpoints\random_forest_model.pkl,full_clean_training_data
xgboost,False,Model_Development\models\checkpoints\xgboost_pipeline.pkl,Model_Development\models\checkpoints\xgboost_model.pkl,full_clean_training_data
random_forest_tuned,False,Model_Development\models\checkpoints\random_forest_tuned_pipeline.pkl,Model_Development\models\checkpoints\random_forest_tuned_model.pkl,full_clean_training_data
xgboost_tuned,False,Model_Development\models\checkpoints\xgboost_tuned_pipeline.pkl,Model_Development\models\checkpoints\xgboost_tuned_model.pkl,full_clean_training_data
