rmse,mae,mape,r2,within_10_pct,within_20_pct,log_rmse,model,fold
21604.000963404902,14700.696746429716,0.08788369584130716,0.9155040016745192,0.7054794520547946,0.910958904109589,0.12796159114056782,linear_regression,1
22704.246388985204,14682.221445480269,0.08921356092746903,0.9265947256487204,0.726027397260274,0.9041095890410958,0.1349550236909513,linear_regression,2
20607.739096828594,14137.732712636016,0.08817437215383696,0.9203198226451789,0.7363013698630136,0.9212328767123288,0.1280950423563799,linear_regression,3
24504.072160653795,15144.112413992805,0.08733112229718029,0.9170619014025432,0.7079037800687286,0.9106529209621993,0.13588158472589493,linear_regression,4
23099.75490285788,14429.402760926208,0.07779031050674347,0.917235799763631,0.7079037800687286,0.9381443298969072,0.10725652288656347,linear_regression,5
19033.63536779205,13465.430829367879,0.08158281164137833,0.9344139832024205,0.7431506849315068,0.9315068493150684,0.11635566491832362,ridge_regression,1
19592.94415177344,13185.146459280213,0.07664156890658581,0.9453346057021155,0.7363013698630136,0.9383561643835616,0.1081742118864565,ridge_regression,2
19734.980729342155,13490.313969423672,0.08302701547902847,0.9269259781542314,0.7671232876712328,0.9452054794520548,0.11809703165998349,ridge_regression,3
20590.789688848734,13601.562720337717,0.08006075658757666,0.94143696781505,0.7491408934707904,0.9484536082474226,0.11488215786672593,ridge_regression,4
23299.92116807104,14039.121452943493,0.07337318560507493,0.9157952322603697,0.718213058419244,0.9553264604810997,0.09994349063727852,ridge_regression,5
18680.625544950348,13195.725794058653,0.07851365981987167,0.9368242224665178,0.75,0.9383561643835616,0.11031568920740203,lasso_regression,1
19195.487886159714,13267.413482873253,0.0780227740420684,0.9475299601864794,0.7123287671232876,0.9452054794520548,0.10736187612077622,lasso_regression,2
20121.052214370044,13792.752516094863,0.08395539049205174,0.9240389475168873,0.7602739726027398,0.9486301369863014,0.11867838430333255,lasso_regression,3
20157.281036239663,13246.726557465463,0.07668706548542308,0.943876925927382,0.7628865979381443,0.9518900343642611,0.10989070196836337,lasso_regression,4
23414.609668213714,14071.260358867958,0.07367023328597064,0.9149642349010989,0.7216494845360825,0.9553264604810997,0.10031093411293819,lasso_regression,5
22470.514013512005,15366.796071801871,0.09775502518877346,0.9085899851189269,0.702054794520548,0.9178082191780822,0.14303881663391246,random_forest,1
29743.229188311867,15993.698310212316,0.08963831717648832,0.8740235635611491,0.702054794520548,0.9212328767123288,0.12707571554717956,random_forest,2
23717.80622781278,15752.92174683658,0.09611158662906095,0.894454765152864,0.702054794520548,0.8972602739726028,0.13529745103933286,random_forest,3
31262.850871357794,16967.481033922,0.09423219506440568,0.8649997082115326,0.718213058419244,0.8865979381443299,0.13816192273114233,random_forest,4
28349.00664459629,16613.17089546821,0.08508236904934677,0.8753467889302406,0.7319587628865979,0.9072164948453608,0.12061203057277319,random_forest,5
20105.58189725125,14278.274801980835,0.08575698139203902,0.9268185416842726,0.7328767123287672,0.910958904109589,0.11785158946795299,xgboost,1
22847.92386374982,13961.79792092258,0.08004138596033251,0.9256627365270651,0.7465753424657534,0.952054794520548,0.11272102323604558,xgboost,2
21158.683173076148,13954.47432856713,0.08592472925903795,0.916002401738005,0.7602739726027398,0.928082191780822,0.12428646472870883,xgboost,3
25759.916919558902,14785.409443118631,0.08206628541167071,0.908342825486073,0.7353951890034365,0.9106529209621993,0.11901696850871935,xgboost,4
23954.248276548326,14203.76340346688,0.07437895114985119,0.9109994127899925,0.7319587628865979,0.9312714776632303,0.10561704568475484,xgboost,5
