model,include_derived,include_context_features,feature_set,train_rmse,valid_rmse,valid_mae,valid_mape,valid_r2,valid_within_10_pct,valid_within_20_pct,valid_log_rmse,cv_rmse_mean,cv_rmse_std,cv_mae_mean,cv_mape_mean,generalization_gap_rmse
linear_regression,True,False,reduced_linear,16214.266675935345,22074.646163005233,14479.351907231494,0.08694862646860942,0.9364707588622125,0.7123287671232876,0.9178082191780822,0.12289186541599363,37091.654708006245,36386.38255217404,15302.779843650103,0.0902424255518619,5860.379487069888
lasso_regression,True,False,reduced_linear,19213.570517856857,24006.80062838679,14267.6911408079,0.08481872073637156,0.9248628466581914,0.7328767123287672,0.9246575342465754,0.12312382452265143,38485.49673949496,35345.65707853402,15295.035140475491,0.0884637995939698,4793.230110529934
xgboost,True,False,full,11536.85292861181,25296.409894935405,14967.722720358317,0.08680930382695076,0.9165735150907938,0.7363013698630136,0.9143835616438356,0.12585276474683088,28354.223387135047,9356.438581095083,14914.70965055207,0.0850570274565813,13759.556966323595
ridge_regression,True,False,reduced_linear,22743.074767301012,26434.921899122182,15037.815998367972,0.08870064263643274,0.9088949965181525,0.7294520547945206,0.910958904109589,0.13054225496790095,39511.71125206136,33840.31197690843,15605.007008807568,0.08950904443631369,3691.8471318211705
random_forest,True,False,full,18307.244966297003,34602.49003867758,17826.661378475423,0.10386508004286635,0.8439007306162709,0.708904109589041,0.8698630136986302,0.15630022949888847,31617.469558602566,4461.083927280861,17274.476749368223,0.09713920528355044,16295.245072380574
