rmse,mae,mape,r2,within_10_pct,within_20_pct,log_rmse,model,fold
22074.64616300527,14479.351907231514,0.0869486264686095,0.9364707588622123,0.7123287671232876,0.9178082191780822,0.12289186541599376,linear_regression,1
18936.509946697886,13498.636577224737,0.080912449466814,0.9472602899310985,0.7363013698630136,0.928082191780822,0.11916248278790284,linear_regression,2
102108.61386782475,20632.203549414797,0.12266630827846751,-0.8872048313778134,0.75,0.9315068493150684,0.20039419549787485,linear_regression,3
22972.67986057349,14409.873695056242,0.08111080098730335,0.9159523376104272,0.7191780821917808,0.9246575342465754,0.11531900684169952,linear_regression,4
19365.82370192983,13493.83348932323,0.07957394255811516,0.9282485387460592,0.708904109589041,0.9486301369863014,0.10904766477639821,linear_regression,5
26434.921899123205,15037.81599836807,0.08870064263643265,0.9088949965181454,0.7294520547945206,0.910958904109589,0.13054225496790217,ridge_regression,1
28443.081900238078,15066.422034134936,0.08174631478089717,0.8810152887549778,0.7226027397260274,0.9315068493150684,0.11808933957362096,ridge_regression,2
99720.73682124515,20079.68030510927,0.11823079602875763,-0.7999698721662993,0.773972602739726,0.952054794520548,0.19457154911298888,ridge_regression,3
23901.813396289243,14779.582713108373,0.08296242210894399,0.9090162105631232,0.7226027397260274,0.910958904109589,0.11725183679850854,ridge_regression,4
19058.002243411105,13061.533993317196,0.07590504662653696,0.930511401948788,0.7602739726027398,0.958904109589041,0.10736879240998676,ridge_regression,5
25487.188548555932,14644.68276990758,0.08750804944818913,0.915310410201203,0.7363013698630136,0.9143835616438356,0.1281943795384511,lasso_regression,1
24899.016620448212,14427.824712680465,0.07995409231727156,0.908819441601989,0.7431506849315068,0.934931506849315,0.11342815391218133,lasso_regression,2
101508.27385335938,20853.920070669963,0.12221705969237401,-0.8650787062170893,0.7431506849315068,0.952054794520548,0.1969981915952155,lasso_regression,3
22263.93697000045,13648.336498849116,0.0773281056570976,0.9210583416126793,0.7465753424657534,0.9417808219178082,0.10972008229406774,lasso_regression,4
18269.06770511086,12900.411650270338,0.07531169085491667,0.9361454905461792,0.7191780821917808,0.958904109589041,0.10391511103038752,lasso_regression,5
34135.564053456066,17828.914308783937,0.1044159262317093,0.8480851137522978,0.6986301369863014,0.8767123287671232,0.15580709916387075,random_forest,1
30552.37682011777,16353.012743517105,0.08816802425880697,0.862713491231071,0.708904109589041,0.928082191780822,0.1296336066749575,random_forest,2
36330.49237052395,18537.06662792763,0.10504578903787595,0.7610886150920788,0.6678082191780822,0.8938356164383562,0.1545858289421852,random_forest,3
32465.57310105942,18331.864547991838,0.10307971876653187,0.83213951814643,0.660958904109589,0.863013698630137,0.15295649030185138,random_forest,4
24603.341447855604,15321.5255186206,0.08498656812282805,0.8841897524359167,0.7191780821917808,0.910958904109589,0.12099178983052648,random_forest,5
26308.216892381384,15154.948064062055,0.0875632202484199,0.9097662527823055,0.7534246575342466,0.910958904109589,0.12764266208325992,xgboost,1
23947.75224255326,13496.510757478038,0.07504393725030525,0.9156534409404267,0.7636986301369864,0.9554794520547946,0.11033008924391749,xgboost,2
44576.253181742366,17401.452318991138,0.10229505642225876,0.6403323301760842,0.7157534246575342,0.9178082191780822,0.16116693279154207,xgboost,3
26270.54672296126,15274.405442984376,0.08405457136520558,0.8900891566484306,0.7294520547945206,0.9143835616438356,0.12181762545839528,xgboost,4
20668.34789603696,13246.231669244738,0.07632835199671688,0.9182721021308441,0.773972602739726,0.934931506849315,0.11243566439400252,xgboost,5
