price_bucket,n,actual_mean,predicted_mean,residual_mean,mae,mape,within_10_pct,within_20_pct
<100k,26,76091.34615384617,85065.99920212255,-8974.65304827637,14036.119804541058,0.2058152272255178,0.46153846153846156,0.6538461538461539
100k-150k,113,128207.63716814159,128151.65574396604,55.981424175558786,10054.76591792176,0.07835540251137517,0.7433628318584071,0.9380530973451328
150k-200k,71,173669.36619718312,174391.73399834934,-722.3678011662414,11322.63995109416,0.0658373738522009,0.7887323943661971,0.9577464788732394
200k-300k,58,243004.60344827588,242123.78863560152,880.8148126743793,18800.292211186792,0.07689299735361368,0.7068965517241379,0.9655172413793104
300k-500k,21,352731.28571428574,331548.5313915424,21182.754322743374,28669.982572267127,0.07964825737748966,0.6666666666666666,0.9047619047619048
500k+,3,641079.3333333337,564262.9751752532,76816.35815808055,76816.35815808055,0.12559391408064946,0.3333333333333333,0.6666666666666666
