,count,unique,top,freq,mean,std,min,25%,50%,75%,max
actual,292.0,,,,178839.81164383565,87730.75125912338,35311.00000000002,126999.99999999991,154149.99999999994,209175.00000000012,755000.0000000005
predicted,292.0,,,,177305.32197883286,82197.06232676559,45505.47165677695,123495.83969992546,153119.33218699502,210234.59633365102,723447.4496865806
residual,292.0,,,,1534.4896650027945,22059.052318115388,-102314.34913315866,-7437.313251647509,913.7294932791847,10172.976913518098,138235.81930082932
abs_error,292.0,,,,14479.351907231494,16691.089099262743,22.72043474871316,4132.386999155933,9453.670121288298,18645.706889429992,138235.81930082932
abs_pct_error,292.0,,,,0.08694862646860942,0.10324353823907408,0.0001222185839091616,0.0277706869265015,0.05625864503936328,0.11259367620585088,0.830008359717303
neighborhood,292,25,NAmes,44,,,,,,,
overall_qual,292.0,,,,6.010273972602739,1.4418501598446205,2.0,5.0,6.0,7.0,10.0
price_bucket,292,6,100k-150k,113,,,,,,,
