feature,importance,raw_value,importance_type
roof_matl_ClyTile,2.0906524465390532,-2.0906524465390532,coefficient_abs
roof_matl_Membran,0.4519648830891238,0.4519648830891238,coefficient_abs
roof_matl_WdShngl,0.37239191551051853,0.37239191551051853,coefficient_abs
roof_matl_Metal,0.3395142528358592,0.3395142528358592,coefficient_abs
mszoning_C (all),0.3304376751433831,-0.3304376751433831,coefficient_abs
condition2_RRAe,0.28943327021149895,-0.28943327021149895,coefficient_abs
exteriorfirst_BrkComm,0.2646857406299165,-0.2646857406299165,coefficient_abs
roof_matl_CompShg,0.26053807544504964,0.26053807544504964,coefficient_abs
roof_matl_Tar&Grv,0.257298070831511,0.257298070831511,coefficient_abs
condition2_PosA,0.22869661345573966,0.22869661345573966,coefficient_abs
misc_feature_TenC,0.22580844587185317,-0.22580844587185317,coefficient_abs
roof_matl_Roll,0.20538257549396563,0.20538257549396563,coefficient_abs
roof_matl_WdShake,0.20356267333302555,0.20356267333302555,coefficient_abs
misc_feature_Gar2,0.1697514103462704,0.1697514103462704,coefficient_abs
roof_style_Shed,0.13865953681933268,0.13865953681933268,coefficient_abs
foundation_Wood,0.1245392538611684,-0.1245392538611684,coefficient_abs
exteriorsecond_Other,0.1238484514310404,-0.1238484514310404,coefficient_abs
neighborhood_StoneBr,0.11876324218111789,0.11876324218111789,coefficient_abs
exteriorfirst_AsphShn,0.11809300763358958,-0.11809300763358958,coefficient_abs
foundation_Stone,0.11773916993949715,0.11773916993949715,coefficient_abs
exteriorfirst_BrkFace,0.11411792696017509,0.11411792696017509,coefficient_abs
utilities_NoSeWa,0.11075723587149003,-0.11075723587149003,coefficient_abs
utilities_AllPub,0.11075723587147401,0.11075723587147401,coefficient_abs
neighborhood_Crawfor,0.10849932592876745,0.10849932592876745,coefficient_abs
mszoning_FV,0.10507812294981606,0.10507812294981606,coefficient_abs
mszoning_RH,0.10216755299981915,0.10216755299981915,coefficient_abs
condition1_RRAe,0.09389256111798777,-0.09389256111798777,coefficient_abs
total_sf,0.09295586169353824,0.09295586169353824,coefficient_abs
exteriorsecond_CmentBd,0.09224215984473988,0.09224215984473988,coefficient_abs
neighborhood_MeadowV,0.09037977500037192,-0.09037977500037192,coefficient_abs
heating_Wall,0.09013399039055588,0.09013399039055588,coefficient_abs
sale_type_New,0.08954312433161747,0.08954312433161747,coefficient_abs
heating_Floor,0.08783571574904939,-0.08783571574904939,coefficient_abs
heating_GasW,0.0860638683252982,0.0860638683252982,coefficient_abs
heating_Grav,0.08240913254025634,-0.08240913254025634,coefficient_abs
total_above_ground_sf,0.0775763455994332,0.0775763455994332,coefficient_abs
exteriorsecond_Brk Cmn,0.07735120720485339,0.07735120720485339,coefficient_abs
mszoning_RL,0.07524730394954614,0.07524730394954614,coefficient_abs
condition2_PosN,0.07492689069664679,-0.07492689069664679,coefficient_abs
sale_condition_AdjLand,0.07415464507779551,0.07415464507779551,coefficient_abs
condition2_RRNn,0.07233357289837224,0.07233357289837224,coefficient_abs
exteriorsecond_AsphShn,0.07108767769576887,0.07108767769576887,coefficient_abs
sale_type_ConLI,0.07027005051379455,-0.07027005051379455,coefficient_abs
house_style_2.5Fin,0.07023471738546065,-0.07023471738546065,coefficient_abs
lot_config_FR3,0.06915498346733956,-0.06915498346733956,coefficient_abs
sale_type_ConLD,0.06744876441428442,0.06744876441428442,coefficient_abs
garage_type_2Types,0.06718871289480655,-0.06718871289480655,coefficient_abs
exteriorfirst_AsbShng,0.06545289728534907,0.06545289728534907,coefficient_abs
neighborhood_Edwards,0.06306456804569777,-0.06306456804569777,coefficient_abs
neighborhood_NridgHt,0.06200514480657449,0.06200514480657449,coefficient_abs
condition1_RRNn,0.06181492334011039,0.06181492334011039,coefficient_abs
exteriorfirst_Stucco,0.06109156636069163,0.06109156636069163,coefficient_abs
sale_type_WD,0.060681769373531765,-0.060681769373531765,coefficient_abs
neighborhood_Mitchel,0.05903735039560189,-0.05903735039560189,coefficient_abs
exteriorfirst_MetalSd,0.058360675662467824,0.058360675662467824,coefficient_abs
condition2_Feedr,0.05814072343690929,0.05814072343690929,coefficient_abs
overall_qual,0.05630909307618316,0.05630909307618316,coefficient_abs
age_at_sale,0.054279222392063745,-0.054279222392063745,coefficient_abs
has_garage,0.05229416784471523,-0.05229416784471523,coefficient_abs
roof_style_Gambrel,0.05202111157652689,-0.05202111157652689,coefficient_abs
sale_condition_Abnorml,0.05158169458933957,-0.05158169458933957,coefficient_abs
neighborhood_NWAmes,0.05057970582529959,-0.05057970582529959,coefficient_abs
exteriorsecond_Stone,0.04891032240752691,-0.04891032240752691,coefficient_abs
