model,include_derived,include_context_features,include_days_on_market,include_distance_to_center,include_neighborhood,include_time_features,include_mortgage_rate,feature_set,train_rmse,valid_rmse,valid_mae,valid_mape,valid_r2,valid_within_10_pct,valid_within_20_pct,valid_log_rmse,cv_rmse_mean,cv_rmse_std,cv_mae_mean,cv_mape_mean,generalization_gap_rmse,tuning_best_cv_log_rmse
lasso_regression,True,True,True,True,True,True,True,reduced_linear,18351.00484682008,18680.62554495032,13195.725794058622,0.07851365981987168,0.936824222466518,0.75,0.9383561643835616,0.11031568920740205,20313.811269986698,1843.53948135937,13514.77574187204,0.07816982462507711,329.62069813023845,
ridge_regression,True,True,True,True,True,True,True,reduced_linear,18176.45417448682,19033.63536779187,13465.430829367959,0.08158281164137897,0.9344139832024217,0.7431506849315068,0.9315068493150684,0.11635566491832441,20450.454221165484,1687.7320155227676,13556.315086270595,0.07893706764392884,857.1811933050521,
xgboost,True,True,True,True,True,True,True,full,11286.216131313897,19832.027829831673,14132.976033038849,0.08517083876834916,0.9287963901324262,0.7226027397260274,0.9143835616438356,0.11705240861750324,22765.27082603689,2238.496884768064,14236.743979611212,0.08163366663458627,8545.811698517777,
xgboost_tuned,True,True,True,True,True,True,True,full,8731.275833289392,19932.671895136154,14176.868059890021,0.08558307090795678,0.9280718646849785,0.7328767123287672,0.9143835616438356,0.11853406663742504,,,,,11201.396061846763,0.12015339992774188
linear_regression,True,True,True,True,True,True,True,reduced_linear,17018.095999950463,21604.000963404924,14700.69674642969,0.08788369584130726,0.9155040016745191,0.7054794520547946,0.910958904109589,0.12796159114056793,22503.962702546076,1483.3336475837284,14618.833215893004,0.08607861234530738,4585.904963454461,
random_forest_tuned,True,True,True,True,True,True,True,full,10809.211394011121,22182.823131173795,15041.971141432265,0.09602406588423916,0.9109156534817827,0.6986301369863014,0.9178082191780822,0.14145409986005084,,,,,11373.611737162673,0.13347808524789953
random_forest,True,True,True,True,True,True,True,full,16049.16285391075,22528.80798510806,15302.277733755407,0.09790943006835187,0.9081150903552607,0.7054794520547946,0.9075342465753424,0.1447738649315124,27108.68138911815,3832.3297058212343,16138.813611648196,0.09256389862161503,6479.645131197309,
