price_bucket,n,actual_mean,predicted_mean,residual_mean,mae,mape,within_10_pct,within_20_pct
<100k,21,75337.23809523809,86959.40416878197,-11622.166073543873,12570.437699863443,0.2084200822486661,0.42857142857142855,0.7142857142857143
100k-150k,104,127494.86538461539,126478.14765954035,1016.7177250750378,8046.8094884920565,0.0640882419160701,0.8076923076923077,0.9519230769230769
150k-200k,78,176209.74358974362,179961.38154806802,-3751.6379583243993,11595.628437579422,0.06636215866319284,0.8076923076923077,0.9487179487179487
200k-300k,66,247195.48484848486,243425.56068068394,3769.924167800935,19002.342828605226,0.07618132607413423,0.696969696969697,0.9696969696969697
300k-500k,23,350394.347826087,333044.46091154986,17349.886914537103,25812.6481976379,0.07303364714292836,0.7391304347826086,0.9565217391304348
500k+,0,,,,,,,
