,count,unique,top,freq,mean,std,min,25%,50%,75%,max
actual,292.0,,,,181369.45205479453,74449.37366673295,35311.00000000002,129375.00000000007,167050.00000000006,226999.99999999988,451950.00000000006
predicted,292.0,,,,180626.6171601942,72226.99944190284,48050.680100369595,126713.76149922534,165151.89049194875,221668.77104008046,518954.3799278579
residual,292.0,,,,742.8348946003238,18697.89469234238,-80174.37992785807,-7611.535698392945,923.1440723383639,9283.019338164453,65872.22303115617
abs_error,292.0,,,,13195.725794058622,13245.354333531151,64.36584621627117,3698.5400282230585,8553.001970339392,18207.223858085337,80174.37992785807
abs_pct_error,292.0,,,,0.07851365981987168,0.09916017772828821,0.0005169947487250695,0.023992472660609214,0.05178269551230136,0.10015503015800482,1.1709111798168381
neighborhood,292,23,CollgCr,38,,,,,,,
overall_qual,292.0,,,,6.174657534246576,1.3823786285573794,1.0,5.0,6.0,7.0,10.0
price_bucket,292,5,100k-150k,104,,,,,,,
